iter	Logloss
0	0.6881848882
1	0.68314011
2	0.678306259
3	0.6732328299
4	0.6698807426
5	0.666753666
6	0.6635684444
7	0.6595990005
8	0.6567104739
9	0.6532667587
10	0.6489942621
11	0.646277832
12	0.6419123809
13	0.6376521721
14	0.6326578801
15	0.6287574593
16	0.6249984463
17	0.6212323586
18	0.6171169422
19	0.6141518208
20	0.6106755236
21	0.6071856016
22	0.6046937541
23	0.601237618
24	0.5984239588
25	0.5964253793
26	0.5932437561
27	0.5900180858
28	0.5861630454
29	0.5823513169
30	0.5792297769
31	0.5767102473
32	0.5742831414
33	0.5709892867
34	0.5693550454
35	0.566754845
36	0.5644335419
37	0.5627832891
38	0.5600700778
39	0.5586001639
40	0.5554161693
41	0.5523495441
42	0.5509739383
43	0.54962488
44	0.5482027023
45	0.5464493965
46	0.544092319
47	0.5425417159
48	0.5401212681
49	0.5388216182
50	0.5371653952
51	0.5347583405
52	0.5328540636
53	0.5307789823
54	0.5289041529
55	0.52786099
56	0.5256501583
57	0.5235753608
58	0.5216787606
59	0.5198185284
60	0.5181848379
61	0.5159299097
62	0.5139129323
63	0.5118892404
64	0.5097797359
65	0.5082002224
66	0.5070077274
67	0.5058030549
68	0.5046915901
69	0.5027707166
70	0.5008513314
71	0.5001176043
72	0.4984985775
73	0.4966584801
74	0.4952085042
75	0.4938149765
76	0.4925748261
77	0.4919052401
78	0.4905443166
79	0.4890913197
80	0.4877171478
81	0.4862964952
82	0.4855529674
83	0.4848764212
84	0.4843044715
85	0.4829108355
86	0.4813311281
87	0.4799954895
88	0.4787302582
89	0.4779137103
90	0.4761672843
91	0.4752112299
92	0.4738179037
93	0.4728555951
94	0.4719412151
95	0.4703762169
96	0.4694869815
97	0.4690230415
98	0.4675511854
99	0.4662234323
100	0.4650741609
101	0.4637814721
102	0.4628090649
103	0.4617724456
104	0.4606066869
105	0.4596806923
106	0.4590397538
107	0.4578981959
108	0.4571591967
109	0.4559961861
110	0.4554450239
111	0.4545036472
112	0.4533072804
113	0.4524918603
114	0.4515409397
115	0.4508684673
116	0.4503934281
117	0.449826657
118	0.4491725917
119	0.4482905624
120	0.4477365542
121	0.4471000953
122	0.4462919983
123	0.445196059
124	0.444516308
125	0.4436191716
126	0.4424503829
127	0.4415185253
128	0.4407036002
129	0.4396274144
130	0.4391498708
131	0.4383956264
132	0.4376380892
133	0.4369570254
134	0.4360323353
135	0.4349885782
136	0.4344265728
137	0.4335686252
138	0.4333108088
139	0.4328925995
140	0.4319199519
141	0.4311592275
142	0.4308934007
143	0.4304336772
144	0.4297117798
145	0.4292126997
146	0.4286832499
147	0.4280535473
148	0.4274303476
149	0.4269940886
150	0.4265298121
151	0.4260650636
152	0.4253080977
153	0.4247675243
154	0.4242694893
155	0.4238063304
156	0.4236158816
157	0.4227484599
158	0.422341631
159	0.4217485694
160	0.4211857402
161	0.4209964355
162	0.4201633487
163	0.419576271
164	0.4190053534
165	0.4185364362
166	0.41830258
167	0.4177852981
168	0.4172623389
169	0.4166586284
170	0.4164570658
171	0.4159997398
172	0.4154782543
173	0.415308545
174	0.4149759059
175	0.4146210908
176	0.4140634434
177	0.4135965365
178	0.4129344552
179	0.4124391693
180	0.4118574284
181	0.411355132
182	0.4107688246
183	0.4103133709
184	0.4099064711
185	0.4096718551
186	0.4090647267
187	0.4085627819
188	0.4082785255
189	0.4079587107
190	0.4078186966
191	0.4074298304
192	0.4071054851
193	0.4068871301
194	0.4065525222
195	0.4061207012
196	0.4057097317
197	0.4054550207
198	0.4051823899
199	0.4045113031
200	0.4040773958
201	0.4040651468
202	0.4036843757
203	0.4033900222
204	0.403000823
205	0.4025526758
206	0.4021889268
207	0.4017464066
208	0.4011614409
209	0.4007703648
210	0.4003985473
211	0.4000121451
212	0.3996486603
213	0.3991775448
214	0.398884046
215	0.3987433044
216	0.3985586288
217	0.3982246034
218	0.3980006332
219	0.3976439495
220	0.3971321065
221	0.3966901716
